legacy_path,decoded_legacy_path,source,clicks,impressions,current_status,current_location,final_status,final_url,problem_type,recommended_target,action_needed,notes
/ایمپلنت-اقساطی-در-تبریز-با-دکتر-علیرضا/,/ایمپلنت-اقساطی-در-تبریز-با-دکتر-علیرضا/,legacy-redirects-spec|migration-map|p0-launch-list|search-console|wordpress-inventory,2753,17354,301,https://dralirezasadighi.com/knowledge/%D8%A7%DB%8C%D9%85%D9%BE%D9%84%D9%86%D8%AA-%D8%A7%D9%82%D8%B3%D8%A7%D8%B7%DB%8C-%D8%AF%D8%B1-%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2-%D8%A8%D8%A7-%D8%AF%DA%A9%D8%AA%D8%B1-%D8%B9%D9%84%DB%8C%D8%B1%D8%B6%D8%A7,200,https://dralirezasadighi.com/knowledge/%D8%A7%DB%8C%D9%85%D9%BE%D9%84%D9%86%D8%AA-%D8%A7%D9%82%D8%B3%D8%A7%D8%B7%DB%8C-%D8%AF%D8%B1-%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2-%D8%A8%D8%A7-%D8%AF%DA%A9%D8%AA%D8%B1-%D8%B9%D9%84%DB%8C%D8%B1%D8%B6%D8%A7,redirects_ok,/knowledge/ایمپلنت-اقساطی-در-تبریز-با-دکتر-علیرضا,"already redirects (pre-existing map entry, unrelated to this incident)",Not part of this incident — was already a valid legacy-redirects.ts entry before this audit.
/جراحی-فک-نی-نی-سایت/,/جراحی-فک-نی-نی-سایت/,legacy-redirects-spec|migration-map|p0-launch-list|search-console|wordpress-inventory,1599,57539,301,https://dralirezasadighi.com/knowledge/%D8%AC%D8%B1%D8%A7%D8%AD%DB%8C-%D9%81%DA%A9-%D9%86%DB%8C-%D9%86%DB%8C-%D8%B3%D8%A7%DB%8C%D8%AA,200,https://dralirezasadighi.com/knowledge/%D8%AC%D8%B1%D8%A7%D8%AD%DB%8C-%D9%81%DA%A9-%D9%86%DB%8C-%D9%86%DB%8C-%D8%B3%D8%A7%DB%8C%D8%AA,redirects_ok,/knowledge/جراحی-فک-نی-نی-سایت,"already redirects (pre-existing map entry, unrelated to this incident)",Not part of this incident — was already a valid legacy-redirects.ts entry before this audit.
/جراحی-بینی-به-سبک-اروپایی-زیبایی-و-تقا/,/جراحی-بینی-به-سبک-اروپایی-زیبایی-و-تقا/,legacy-redirects-spec|migration-map|p0-launch-list|search-console|wordpress-inventory,530,12515,301,https://dralirezasadighi.com/knowledge/%D8%AC%D8%B1%D8%A7%D8%AD%DB%8C-%D8%A8%DB%8C%D9%86%DB%8C-%D8%A8%D9%87-%D8%B3%D8%A8%DA%A9-%D8%A7%D8%B1%D9%88%D9%BE%D8%A7%DB%8C%DB%8C-%D8%B2%DB%8C%D8%A8%D8%A7%DB%8C%DB%8C-%D9%88-%D8%AA%D9%82%D8%A7,200,https://dralirezasadighi.com/knowledge/%D8%AC%D8%B1%D8%A7%D8%AD%DB%8C-%D8%A8%DB%8C%D9%86%DB%8C-%D8%A8%D9%87-%D8%B3%D8%A8%DA%A9-%D8%A7%D8%B1%D9%88%D9%BE%D8%A7%DB%8C%DB%8C-%D8%B2%DB%8C%D8%A8%D8%A7%DB%8C%DB%8C-%D9%88-%D8%AA%D9%82%D8%A7,redirects_ok,/knowledge/جراحی-بینی-به-سبک-اروپایی-زیبایی-و-تقا,"already redirects (pre-existing map entry, unrelated to this incident)",Not part of this incident — was already a valid legacy-redirects.ts entry before this audit.
/جراحی-دندان-عقل-با-بیهوشی-در-تبریز/,/جراحی-دندان-عقل-با-بیهوشی-در-تبریز/,legacy-redirects-spec|migration-map|p0-launch-list|search-console|wordpress-inventory,424,7182,301,https://dralirezasadighi.com/knowledge/%D8%AC%D8%B1%D8%A7%D8%AD%DB%8C-%D8%AF%D9%86%D8%AF%D8%A7%D9%86-%D8%B9%D9%82%D9%84-%D8%A8%D8%A7-%D8%A8%DB%8C%D9%87%D9%88%D8%B4%DB%8C-%D8%AF%D8%B1-%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2,200,https://dralirezasadighi.com/knowledge/%D8%AC%D8%B1%D8%A7%D8%AD%DB%8C-%D8%AF%D9%86%D8%AF%D8%A7%D9%86-%D8%B9%D9%82%D9%84-%D8%A8%D8%A7-%D8%A8%DB%8C%D9%87%D9%88%D8%B4%DB%8C-%D8%AF%D8%B1-%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2,redirects_ok,/knowledge/جراحی-دندان-عقل-با-بیهوشی-در-تبریز,"already redirects (pre-existing map entry, unrelated to this incident)",Not part of this incident — was already a valid legacy-redirects.ts entry before this audit.
/فیزیوتراپی-بعد-از-جراحی-فک-راهنمای-کام/,/فیزیوتراپی-بعد-از-جراحی-فک-راهنمای-کام/,legacy-redirects-spec|migration-map|p0-launch-list|search-console|wordpress-inventory,396,5087,301,https://dralirezasadighi.com/knowledge/%D9%81%DB%8C%D8%B2%DB%8C%D9%88%D8%AA%D8%B1%D8%A7%D9%BE%DB%8C-%D8%A8%D8%B9%D8%AF-%D8%A7%D8%B2-%D8%AC%D8%B1%D8%A7%D8%AD%DB%8C-%D9%81%DA%A9-%D8%B1%D8%A7%D9%87%D9%86%D9%85%D8%A7%DB%8C-%DA%A9%D8%A7%D9%85,200,https://dralirezasadighi.com/knowledge/%D9%81%DB%8C%D8%B2%DB%8C%D9%88%D8%AA%D8%B1%D8%A7%D9%BE%DB%8C-%D8%A8%D8%B9%D8%AF-%D8%A7%D8%B2-%D8%AC%D8%B1%D8%A7%D8%AD%DB%8C-%D9%81%DA%A9-%D8%B1%D8%A7%D9%87%D9%86%D9%85%D8%A7%DB%8C-%DA%A9%D8%A7%D9%85,redirects_ok,/knowledge/فیزیوتراپی-بعد-از-جراحی-فک-راهنمای-کام,"already redirects (pre-existing map entry, unrelated to this incident)",Not part of this incident — was already a valid legacy-redirects.ts entry before this audit.
/tag/متخصص-دندان-تبریز/,/tag/متخصص-دندان-تبریز/,legacy-redirects-spec|search-console,383,551,301,https://dralirezasadighi.com/about,200,https://dralirezasadighi.com/about,redirects_ok,/about,"already redirects (pre-existing map entry, unrelated to this incident)",Not part of this incident — was already a valid legacy-redirects.ts entry before this audit.
/فیلم_جراحی_فک_در_اتاق_عمل/,/فیلم_جراحی_فک_در_اتاق_عمل/,legacy-redirects-spec|migration-map|p0-launch-list|search-console|wordpress-inventory,371,15849,301,https://dralirezasadighi.com/knowledge/%D9%81%DB%8C%D9%84%D9%85_%D8%AC%D8%B1%D8%A7%D8%AD%DB%8C_%D9%81%DA%A9_%D8%AF%D8%B1_%D8%A7%D8%AA%D8%A7%D9%82_%D8%B9%D9%85%D9%84,200,https://dralirezasadighi.com/knowledge/%D9%81%DB%8C%D9%84%D9%85_%D8%AC%D8%B1%D8%A7%D8%AD%DB%8C_%D9%81%DA%A9_%D8%AF%D8%B1_%D8%A7%D8%AA%D8%A7%D9%82_%D8%B9%D9%85%D9%84,redirects_ok,/knowledge/فیلم_جراحی_فک_در_اتاق_عمل,"already redirects (pre-existing map entry, unrelated to this incident)",Not part of this incident — was already a valid legacy-redirects.ts entry before this audit.
/25-سوال-متداول-در-مورد-جراحی-لیفت-ابرو-و-ش/,/25-سوال-متداول-در-مورد-جراحی-لیفت-ابرو-و-ش/,legacy-redirects-spec|migration-map|p0-launch-list|search-console|wordpress-inventory,368,13789,301,https://dralirezasadighi.com/knowledge/25-%D8%B3%D9%88%D8%A7%D9%84-%D9%85%D8%AA%D8%AF%D8%A7%D9%88%D9%84-%D8%AF%D8%B1-%D9%85%D9%88%D8%B1%D8%AF-%D8%AC%D8%B1%D8%A7%D8%AD%DB%8C-%D9%84%DB%8C%D9%81%D8%AA-%D8%A7%D8%A8%D8%B1%D9%88-%D9%88-%D8%B4,200,https://dralirezasadighi.com/knowledge/25-%D8%B3%D9%88%D8%A7%D9%84-%D9%85%D8%AA%D8%AF%D8%A7%D9%88%D9%84-%D8%AF%D8%B1-%D9%85%D9%88%D8%B1%D8%AF-%D8%AC%D8%B1%D8%A7%D8%AD%DB%8C-%D9%84%DB%8C%D9%81%D8%AA-%D8%A7%D8%A8%D8%B1%D9%88-%D9%88-%D8%B4,redirects_ok,/knowledge/25-سوال-متداول-در-مورد-جراحی-لیفت-ابرو-و-ش,"already redirects (pre-existing map entry, unrelated to this incident)",Not part of this incident — was already a valid legacy-redirects.ts entry before this audit.
/tag/جراحی-ایمپلنت-تبریز/,/tag/جراحی-ایمپلنت-تبریز/,legacy-redirects-spec|rank-math|search-console,308,328,301,https://dralirezasadighi.com/services/advanced-dental-implant,200,https://dralirezasadighi.com/services/advanced-dental-implant,redirects_ok,/services/advanced-dental-implant,"already redirects (pre-existing map entry, unrelated to this incident)",Not part of this incident — was already a valid legacy-redirects.ts entry before this audit.
/بهترین-متخصص-ایمپلنت-تبریز-و-معرفی-دکت/,/بهترین-متخصص-ایمپلنت-تبریز-و-معرفی-دکت/,legacy-redirects-spec|migration-map|p0-launch-list|search-console|wordpress-inventory,286,19515,301,https://dralirezasadighi.com/knowledge/%D8%A8%D9%87%D8%AA%D8%B1%DB%8C%D9%86-%D9%85%D8%AA%D8%AE%D8%B5%D8%B5-%D8%A7%DB%8C%D9%85%D9%BE%D9%84%D9%86%D8%AA-%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2-%D9%88-%D9%85%D8%B9%D8%B1%D9%81%DB%8C-%D8%AF%DA%A9%D8%AA,200,https://dralirezasadighi.com/knowledge/%D8%A8%D9%87%D8%AA%D8%B1%DB%8C%D9%86-%D9%85%D8%AA%D8%AE%D8%B5%D8%B5-%D8%A7%DB%8C%D9%85%D9%BE%D9%84%D9%86%D8%AA-%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2-%D9%88-%D9%85%D8%B9%D8%B1%D9%81%DB%8C-%D8%AF%DA%A9%D8%AA,redirects_ok,/knowledge/بهترین-متخصص-ایمپلنت-تبریز-و-معرفی-دکت,"already redirects (pre-existing map entry, unrelated to this incident)",Not part of this incident — was already a valid legacy-redirects.ts entry before this audit.
