old_url,old_path,old_host_variant,new_url,new_path,status_code,redirect_reason,priority,must_resolve_before_locale_middleware,notes
https://dralirezasadighi.com/,/,apex-https (canonical),https://dralirezasadighi.com/fa,/fa,301,Current WordPress front page becomes the new homepage — no legacy-path mapping needed.,P0,no,"Already handled by the existing bare-path → /fa redirect in src/middleware.ts. Listed for completeness, not a new rule."
https://dralirezasadighi.com/ایمپلنت-اقساطی-در-تبریز-با-دکتر-علیرضا/,/ایمپلنت-اقساطی-در-تبریز-با-دکتر-علیرضا/,apex-https (canonical),https://dralirezasadighi.com/fa/knowledge/ایمپلنت-اقساطی-در-تبریز-با-دکتر-علیرضا,/fa/knowledge/ایمپلنت-اقساطی-در-تبریز-با-دکتر-علیرضا,301,High-traffic core-service article migrated into the Knowledge Center.,P0,yes,Destination article does not exist yet — do not enable this redirect until the Knowledge Center article is authored and published (see phase-1-article-import-list.csv).
https://dralirezasadighi.com/جراحی-فک-نی-نی-سایت/,/جراحی-فک-نی-نی-سایت/,apex-https (canonical),https://dralirezasadighi.com/fa/knowledge/جراحی-فک-نی-نی-سایت,/fa/knowledge/جراحی-فک-نی-نی-سایت,301,High-traffic core-service article migrated into the Knowledge Center.,P0,yes,Destination article does not exist yet — do not enable this redirect until the Knowledge Center article is authored and published (see phase-1-article-import-list.csv).
https://dralirezasadighi.com/جراحی-بینی-به-سبک-اروپایی-زیبایی-و-تقا/,/جراحی-بینی-به-سبک-اروپایی-زیبایی-و-تقا/,apex-https (canonical),https://dralirezasadighi.com/fa/knowledge/جراحی-بینی-به-سبک-اروپایی-زیبایی-و-تقا,/fa/knowledge/جراحی-بینی-به-سبک-اروپایی-زیبایی-و-تقا,301,High-traffic core-service article migrated into the Knowledge Center.,P0,yes,Destination article does not exist yet — do not enable this redirect until the Knowledge Center article is authored and published (see phase-1-article-import-list.csv).
https://dralirezasadighi.com/جراحی-دندان-عقل-با-بیهوشی-در-تبریز/,/جراحی-دندان-عقل-با-بیهوشی-در-تبریز/,apex-https (canonical),https://dralirezasadighi.com/fa/knowledge/جراحی-دندان-عقل-با-بیهوشی-در-تبریز,/fa/knowledge/جراحی-دندان-عقل-با-بیهوشی-در-تبریز,301,High-traffic core-service article migrated into the Knowledge Center.,P0,yes,Destination article does not exist yet — do not enable this redirect until the Knowledge Center article is authored and published (see phase-1-article-import-list.csv).
https://dralirezasadighi.com/فیزیوتراپی-بعد-از-جراحی-فک-راهنمای-کام/,/فیزیوتراپی-بعد-از-جراحی-فک-راهنمای-کام/,apex-https (canonical),https://dralirezasadighi.com/fa/knowledge/فیزیوتراپی-بعد-از-جراحی-فک-راهنمای-کام,/fa/knowledge/فیزیوتراپی-بعد-از-جراحی-فک-راهنمای-کام,301,High-traffic core-service article migrated into the Knowledge Center.,P0,yes,Destination article does not exist yet — do not enable this redirect until the Knowledge Center article is authored and published (see phase-1-article-import-list.csv).
https://dralirezasadighi.com/فیلم_جراحی_فک_در_اتاق_عمل/,/فیلم_جراحی_فک_در_اتاق_عمل/,apex-https (canonical),https://dralirezasadighi.com/fa/knowledge/فیلم_جراحی_فک_در_اتاق_عمل,/fa/knowledge/فیلم_جراحی_فک_در_اتاق_عمل,301,High-traffic core-service article migrated into the Knowledge Center.,P0,yes,Destination article does not exist yet — do not enable this redirect until the Knowledge Center article is authored and published (see phase-1-article-import-list.csv).
https://dralirezasadighi.com/25-سوال-متداول-در-مورد-جراحی-لیفت-ابرو-و-ش/,/25-سوال-متداول-در-مورد-جراحی-لیفت-ابرو-و-ش/,apex-https (canonical),https://dralirezasadighi.com/fa/knowledge/25-سوال-متداول-در-مورد-جراحی-لیفت-ابرو-و-ش,/fa/knowledge/25-سوال-متداول-در-مورد-جراحی-لیفت-ابرو-و-ش,301,High-traffic core-service article migrated into the Knowledge Center.,P0,yes,Destination article does not exist yet — do not enable this redirect until the Knowledge Center article is authored and published (see phase-1-article-import-list.csv).
https://dralirezasadighi.com/بهترین-متخصص-ایمپلنت-تبریز-و-معرفی-دکت/,/بهترین-متخصص-ایمپلنت-تبریز-و-معرفی-دکت/,apex-https (canonical),https://dralirezasadighi.com/fa/knowledge/بهترین-متخصص-ایمپلنت-تبریز-و-معرفی-دکت,/fa/knowledge/بهترین-متخصص-ایمپلنت-تبریز-و-معرفی-دکت,301,High-traffic core-service article migrated into the Knowledge Center.,P0,yes,Destination article does not exist yet — do not enable this redirect until the Knowledge Center article is authored and published (see phase-1-article-import-list.csv).
https://dralirezasadighi.com/contact/,/contact/,apex-https (canonical),https://dralirezasadighi.com/fa/contact,/fa/contact,301,Structural page (about/contact) — consolidated into its Next.js equivalent.,P0,yes,"Destination page already exists in the current Next.js app — this redirect can be implemented and enabled immediately, independent of content work."
